Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
10.90725994,3238.706158,204.813797
11.76941013,3481.44923,209.778595
11.87483025,3501.130346,209.6006012
12.16926003,3545.851555,208.3181
12.82061958,3595.389466,211.1817932
12.57161999,3584.095307,209.4647064
11.39929962,3395.929165,205.625
10.54543018,3087.174334,200.6107025
12.30932999,3562.063389,202.0561981
12.1683197,3545.731948,203.7207031
12.28707981,3559.699203,204.6085968
12.01319027,3523.986209,201.7415009
12.21352959,3551.318734,201.7156067
12.93774033,3597.57459,199.9685059
13.66942024,3600,203.870697
13.69785976,3600,204.8023071
12.75835991,3593.421089,202.6508026
12.76517963,3593.664238,201.2570953
13.07721996,3600,203.4407043
12.59340954,3585.451317,205.1535034
12.51366997,3580.139581,205.008194
12.53439999,3581.613183,204.1203003
11.96442986,3516.3102,201.9989014
11.94577026,3513.264349,194.3786926
12.20707989,3550.542117,189.5238037
12.2751503,3558.399068,190.5794983
12.72264004,3592.036307,187.6125031
12.26537037,3557.31619,189.4371948
11.70368958,3468.159913,192.2619019
10.96352959,3259.412905,190.4571991
11.29796982,3367.805139,192.8582001
10.66594982,3141.292611,194.0843964
10.8332901,3210.350601,195.2017975
10.57837009,3102.339998,195.3432007
10.38854027,3010.962279,201.797699
10.08041954,2841.099422,204.2073975
9.838738441,2687.688082,199.747406
11.43999958,3406.637064,200.2402954
11.94402981,3512.977172,201.1663971
11.85929012,3498.353994,201.7106018
12.81147957,3595.135782,201.3484955
12.91353989,3597.284381,201.6768951
12.72832012,3592.269026,202.4132996
11.66357994,3459.656972,202.6618958
11.0952301,3305.038612,204.061203
10.16094971,2888.183469,203.3379059
9.202415466,2275.211448,197.8013
8.539284706,1852.273851,195.5061035
8.809141159,2021.754239,187.4846039
9.608460426,2523.60898,188.0238953
9.844923973,2691.848533,190.6604004
9.338670731,2364.198743,196.7335968
8.424916267,1781.899877,197.0158997
7.656233788,1339.713949,188.6903992
8.144581795,1613.847713,181.6596069
8.54713726,1857.140175,173.5366974
8.381804466,1755.627598,171.3834076
7.850449085,1445.553534,179.8197937
8.656551361,1925.374082,188.2382965
10.92311954,3244.617174,179.039093
10.4051199,3019.332696,176.9255981
9.498130798,2468.761378,174.677002
11.93025017,3510.684928,180.6725006
11.07629013,3298.717792,183.8755035
10.45788002,3045.466801,192.1911011
9.791149139,2655.255241,197.104599
7.626486778,1323.911052,202.940506
7.287635803,1150.913828,207.3871002
6.228209019,703.7205269,216.9989014
4.47162199,216.0170723,222.5090942
4.127829075,147.1041396,215.4514008
5.032844067,344.1094784,202.5102997
6.267045021,717.8434981,211.2003021
7.763337135,1397.52319,193.6107025
8.21955204,1658.119112,172.135498
7.974888802,1515.649475,168.3569031
6.794364929,926.0444806,171.1295013
5.536108017,479.4472407,162.7037964
5.491714954,466.6197137,150.2816925
6.076754093,650.187023,149.6408997
6.69093895,882.7282325,152.2225037
6.848011971,949.0116113,157.1643066
7.759384155,1395.364787,152.699707
7.417626858,1215.659509,152.076004
7.472226143,1243.600054,154.7837982
